SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22025,203114,Khris Middleton,1610612764,WAS,Washington Wizards,0022500311,2025-12-01,WAS vs. MIL,W,31,6,10,0.6,2,3,0.667,1,3,0.333,0,4,4,6,1,0,2,3,15,-3,29.8,1
22025,1628379,Luke Kennard,1610612737,ATL,Atlanta Hawks,0022500309,2025-12-01,ATL @ DET,L,17,2,6,0.333,1,3,0.333,0,0,,0,1,1,3,1,0,0,0,5,-15,13.7,1
22025,1631243,Mouhamed Gueye,1610612737,ATL,Atlanta Hawks,0022500309,2025-12-01,ATL @ DET,L,23,0,3,0.0,0,0,,1,2,0.5,0,1,1,0,3,1,0,0,1,-2,14.2,1
22025,1630175,Cole Anthony,1610612749,MIL,Milwaukee Bucks,0022500311,2025-12-01,MIL @ WAS,L,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
22025,1631093,Jaden Ivey,1610612765,DET,Detroit Pistons,0022500309,2025-12-01,DET vs. ATL,W,14,0,4,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,1,0,7,1.5,1
22025,1626167,Myles Turner,1610612749,MIL,Milwaukee Bucks,0022500311,2025-12-01,MIL @ WAS,L,26,3,10,0.3,3,8,0.375,0,0,,1,2,3,3,1,1,2,0,9,10,21.1,1
22025,202699,Tobias Harris,1610612765,DET,Detroit Pistons,0022500309,2025-12-01,DET vs. ATL,W,26,2,14,0.143,1,5,0.2,4,4,1.0,2,5,7,1,0,0,3,1,9,-16,15.9,1
22025,1630249,Vít Krejčí,1610612737,ATL,Atlanta Hawks,0022500309,2025-12-01,ATL @ DET,L,17,1,4,0.25,1,4,0.25,0,0,,0,2,2,1,1,0,1,1,3,-5,8.9,1
22025,1642273,Kyshawn George,1610612764,WAS,Washington Wizards,0022500311,2025-12-01,WAS vs. MIL,W,31,3,11,0.273,3,6,0.5,0,0,,0,3,3,5,1,1,3,3,9,2,23.1,1
22025,1642267,Bub Carrington,1610612764,WAS,Washington Wizards,0022500311,2025-12-01,WAS vs. MIL,W,22,2,6,0.333,1,4,0.25,0,0,,0,2,2,5,0,0,2,1,5,2,12.9,1
