SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MATCHUP,WL,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS
22025,0022500002,2025-10-21,1610612744,GSW,1641764,Brandin Podziemski,GSW @ LAL,W,33,7,7,2,3,7,1,4,0,0,1,6,1,0,1,2,13
22025,0022500002,2025-10-21,1610612747,LAL,1629028,Deandre Ayton,LAL vs. GSW,L,34,10,6,0,5,7,0,0,0,2,2,4,0,1,4,3,-4
22025,0022500002,2025-10-21,1610612747,LAL,1629020,Jarred Vanderbilt,LAL vs. GSW,L,12,0,3,0,0,4,0,2,0,0,0,3,1,0,2,0,-4
22025,0022500002,2025-10-21,1610612747,LAL,1630559,Austin Reaves,LAL vs. GSW,L,36,26,5,9,9,16,1,5,7,10,1,4,2,0,5,5,-14
22025,0022500002,2025-10-21,1610612744,GSW,201939,Stephen Curry,GSW @ LAL,W,32,23,1,4,6,14,3,9,8,8,0,1,3,1,2,3,1
22025,0022500002,2025-10-21,1610612747,LAL,203935,Marcus Smart,LAL vs. GSW,L,23,9,0,0,3,6,0,3,3,4,0,0,1,0,3,4,2
22025,0022500002,2025-10-21,1610612744,GSW,1642366,Quinten Post,GSW @ LAL,W,9,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,5
22025,0022500001,2025-10-21,1610612760,OKC,1628392,Isaiah Hartenstein,OKC vs. HOU,W,37,6,8,5,2,5,0,1,2,2,5,3,2,0,1,6,9
22025,0022500080,2025-10-22,1610612766,CHA,1642883,Sion James,CHA vs. BKN,W,17,2,4,2,1,3,0,1,0,0,1,3,0,1,0,2,3
22025,0022500080,2025-10-22,1610612766,CHA,1642851,Kon Knueppel,CHA vs. BKN,W,25,11,5,1,4,6,3,4,0,0,0,5,0,0,2,3,10
22025,0022500080,2025-10-22,1610612766,CHA,1642275,Tidjane Salaün,CHA vs. BKN,W,17,10,4,1,4,7,2,3,0,0,0,4,0,0,0,2,12
22025,0022500080,2025-10-22,1610612766,CHA,1641750,Ryan Kalkbrenner,CHA vs. BKN,W,27,10,11,1,5,6,0,0,0,0,5,6,0,2,4,4,11
22025,0022500080,2025-10-22,1610612766,CHA,1631217,Moussa Diabaté,CHA vs. BKN,W,21,13,9,0,5,7,0,0,3,4,4,5,1,1,2,3,8
22025,0022500080,2025-10-22,1610612766,CHA,1630544,Tre Mann,CHA vs. BKN,W,21,12,3,6,4,7,2,3,2,3,1,2,1,0,2,1,15
22025,0022500080,2025-10-22,1610612766,CHA,1629012,Collin Sexton,CHA vs. BKN,W,17,15,1,3,4,9,1,2,6,7,0,1,1,0,1,2,5
22025,0022500080,2025-10-22,1610612766,CHA,1628970,Miles Bridges,CHA vs. BKN,W,31,18,11,4,6,11,3,6,3,4,2,9,1,0,1,1,7
22025,0022500081,2025-10-22,1610612753,ORL,1641783,Tristan da Silva,ORL vs. MIA,W,18,16,1,0,5,8,3,5,3,4,0,1,0,0,1,0,11
22025,0022500081,2025-10-22,1610612753,ORL,1641710,Anthony Black,ORL vs. MIA,W,23,7,3,3,3,9,1,2,0,0,0,3,0,1,0,2,13
22025,0022500081,2025-10-22,1610612753,ORL,1631094,Paolo Banchero,ORL vs. MIA,W,35,24,11,1,7,17,1,3,9,12,0,11,1,1,2,1,-2
22025,0022500081,2025-10-22,1610612753,ORL,1630591,Jalen Suggs,ORL vs. MIA,W,17,14,4,2,6,7,2,3,0,0,0,4,2,0,2,3,15
22025,0022500081,2025-10-22,1610612753,ORL,1630532,Franz Wagner,ORL vs. MIA,W,36,24,4,6,9,17,2,5,4,6,0,4,2,0,2,5,5
22025,0022500081,2025-10-22,1610612753,ORL,1629048,Goga Bitadze,ORL vs. MIA,W,19,8,8,4,3,4,0,1,2,2,3,5,1,1,0,1,11
22025,0022500081,2025-10-22,1610612753,ORL,1628976,Wendell Carter Jr.,ORL vs. MIA,W,30,9,8,1,2,5,0,1,5,5,5,3,1,1,2,4,-7
22025,0022500081,2025-10-22,1610612753,ORL,1628371,Jonathan Isaac,ORL vs. MIA,W,7,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,-6
22025,0022500081,2025-10-22,1610612753,ORL,1626145,Tyus Jones,ORL vs. MIA,W,24,0,2,3,0,4,0,3,0,0,1,1,0,1,2,0,-17
22025,0022500003,2025-10-22,1610612752,NYK,1642278,Tyler Kolek,NYK vs. CLE,W,14,7,1,2,3,6,1,3,0,0,0,1,0,0,0,2,2
22025,0022500003,2025-10-22,1610612752,NYK,1641998,Trey Jemison III,NYK vs. CLE,W,8,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,3
22025,0022500003,2025-10-22,1610612752,NYK,1630574,Ariel Hukporti,NYK vs. CLE,W,18,2,5,2,1,2,0,0,0,0,1,4,0,1,1,3,-4
22025,0022500003,2025-10-22,1610612752,NYK,1630540,Miles McBride,NYK vs. CLE,W,26,15,2,1,4,7,4,6,3,4,1,1,1,0,2,4,17
22025,0022500003,2025-10-22,1610612752,NYK,1629013,Landry Shamet,NYK vs. CLE,W,14,9,2,1,2,4,2,3,3,3,0,2,1,0,1,1,-5
22025,0022500003,2025-10-22,1610612752,NYK,1628973,Jalen Brunson,NYK vs. CLE,W,34,23,4,5,5,18,1,9,12,13,0,4,0,0,2,3,6
22025,0022500003,2025-10-22,1610612752,NYK,1628969,Mikal Bridges,NYK vs. CLE,W,33,16,5,6,6,11,1,3,3,3,1,4,3,2,0,3,1
22025,0022500003,2025-10-22,1610612752,NYK,1628384,OG Anunoby,NYK vs. CLE,W,38,24,14,2,9,17,4,9,2,4,2,12,3,1,4,0,10
22025,0022500003,2025-10-22,1610612752,NYK,1627824,Guerschon Yabusele,NYK vs. CLE,W,12,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,4
22025,0022500003,2025-10-22,1610612752,NYK,1626157,Karl-Anthony Towns,NYK vs. CLE,W,31,19,11,2,5,12,1,4,8,9,1,10,0,0,3,4,2
22025,0022500003,2025-10-22,1610612752,NYK,203903,Jordan Clarkson,NYK vs. CLE,W,13,4,1,1,2,7,0,2,0,0,1,0,0,0,0,2,4
22025,0022500080,2025-10-22,1610612751,BKN,1642962,Drake Powell,BKN @ CHA,L,7,2,2,0,1,1,0,0,0,0,0,2,0,0,1,4,-2
22025,0022500080,2025-10-22,1610612751,BKN,1642879,Ben Saraf,BKN @ CHA,L,20,8,7,4,2,7,0,3,4,6,1,6,0,0,0,2,-6
22025,0022500080,2025-10-22,1610612751,BKN,1642856,Egor Dëmin,BKN @ CHA,L,22,14,5,2,4,6,4,6,2,2,0,5,1,0,2,3,-6
22025,0022500080,2025-10-22,1610612751,BKN,1642849,Nolan Traore,BKN @ CHA,L,9,3,0,1,1,3,1,2,0,0,0,0,2,0,0,1,-8
22025,0022500080,2025-10-22,1610612751,BKN,1641730,Noah Clowney,BKN @ CHA,L,20,5,4,2,1,6,1,3,2,2,2,2,0,0,1,2,-7
22025,0022500080,2025-10-22,1610612751,BKN,1631213,Tyrese Martin,BKN @ CHA,L,26,5,3,5,2,8,1,5,0,0,3,0,2,0,3,1,0
22025,0022500080,2025-10-22,1610612751,BKN,1630592,Jalen Wilson,BKN @ CHA,L,15,8,0,0,3,5,2,4,0,0,0,0,0,0,1,1,10
22025,0022500080,2025-10-22,1610612751,BKN,1630560,Cam Thomas,BKN @ CHA,L,24,15,1,2,2,9,0,2,11,13,0,1,0,1,2,2,-19
22025,0022500080,2025-10-22,1610612751,BKN,1630549,Day'Ron Sharpe,BKN @ CHA,L,14,14,4,0,6,7,1,2,1,2,1,3,1,2,5,5,-13
22025,0022500080,2025-10-22,1610612751,BKN,1630533,Ziaire Williams,BKN @ CHA,L,15,1,3,1,0,3,0,2,1,2,1,2,1,0,0,1,-18
22025,0022500080,2025-10-22,1610612751,BKN,1629651,Nic Claxton,BKN @ CHA,L,23,17,4,2,8,12,0,1,1,2,2,2,0,0,1,0,-11
22025,0022500080,2025-10-22,1610612751,BKN,1629611,Terance Mann,BKN @ CHA,L,19,13,1,1,4,6,2,3,3,3,1,0,1,0,1,4,4
