GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2025-11-22,CHA,LAC,116,131
2025-11-22,ORL,NYK,133,121
2025-11-22,NOP,ATL,98,115
2025-11-22,CHI,WAS,121,120
2025-11-22,MIL,DET,116,129
2025-11-22,DAL,MEM,96,102
2025-11-22,DEN,SAC,112,119
