SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22025,1630643,Jay Huff,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,31,1,5,0.2,0,3,0.0,6,6,1.0,2,5,7,2,2,4,1,1,8,7,36.4,1
22025,1630679,Ethan Thompson,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,28,2,4,0.5,2,3,0.667,0,0,,3,2,5,0,2,0,0,2,6,0,18.0,1
22025,1629614,Andrew Nembhard,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,33,10,18,0.556,2,4,0.5,6,8,0.75,0,4,4,12,2,0,3,3,28,13,53.8,1
22025,1631097,Bennedict Mathurin,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,35,7,14,0.5,4,9,0.444,7,7,1.0,0,6,6,2,1,0,1,3,25,11,37.2,1
22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,35,10,21,0.476,1,4,0.25,2,2,1.0,1,4,5,4,2,0,2,0,23,14,39.0,1
22025,1642875,Maxime Raynaud,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,23,5,8,0.625,0,0,,3,4,0.75,3,5,8,3,0,0,3,3,13,2,24.1,1
22025,1628370,Malik Monk,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,9,0,5,0.0,0,2,0.0,0,0,,0,4,4,1,0,0,2,2,0,-11,4.3,1
22025,1629234,Drew Eubanks,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,6,0,1,0.0,0,0,,3,4,0.75,1,0,1,0,0,0,1,1,3,-10,3.2,1
22025,1642277,Johnny Furphy,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,10,1,2,0.5,1,2,0.5,0,0,,1,1,2,0,2,0,1,1,3,-2,10.4,1
22025,1641716,Jarace Walker,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,18,3,5,0.6,2,4,0.5,4,4,1.0,1,2,3,1,0,0,2,1,12,3,15.1,1
22025,203897,Zach LaVine,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,38,6,13,0.462,2,6,0.333,2,2,1.0,0,2,2,3,1,0,5,0,16,-10,20.9,1
22025,1630543,Isaiah Jackson,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,17,0,2,0.0,0,0,,0,0,,2,5,7,0,3,2,2,3,0,4,21.4,1
22025,204456,T.J. McConnell,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,16,2,9,0.222,0,0,,0,0,,0,1,1,3,0,0,1,1,4,-2,8.7,1
22025,1631165,Keon Ellis,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,15,1,3,0.333,1,3,0.333,0,0,,1,0,1,0,0,0,0,0,3,4,4.2,1
22025,1629726,Garrison Mathews,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,17,2,7,0.286,2,6,0.333,1,1,1.0,0,1,1,1,0,1,0,0,7,7,12.7,1
22025,1630173,Precious Achiuwa,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,21,5,9,0.556,0,0,,1,3,0.333,3,2,5,2,2,2,0,1,11,-4,32.0,1
22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,36,8,16,0.5,0,2,0.0,4,5,0.8,3,2,5,3,1,0,1,4,20,-14,32.5,1
22025,1642363,Nique Clifford,1610612758,SAC,Sacramento Kings,0022500364,2025-12-08,SAC @ IND,L,14,3,6,0.5,1,1,1.0,0,0,,0,2,2,0,0,1,2,1,7,-2,10.4,1
