SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22025,1630214,Xavier Tillman,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,3,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4,2.0,1
22025,1630568,Luka Garza,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,2,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,-6,4.5,1
22025,1642873,Amari Williams,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6,0.0,1
22025,1628401,Derrick White,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,30,7,14,0.5,5,10,0.5,0,0,,2,3,5,6,0,1,3,2,19,19,34.0,1
22025,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,20,3,8,0.375,1,2,0.5,2,2,1.0,1,5,6,2,0,0,1,0,9,6,18.2,1
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,16,2,4,0.5,2,4,0.5,2,2,1.0,1,3,4,2,0,0,0,2,8,23,15.8,1
22025,1629637,Jaxson Hayes,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,14,1,2,0.5,0,0,,1,2,0.5,1,3,4,0,1,0,0,0,3,-16,10.8,1
22025,1631323,Simone Fontecchio,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,16,2,5,0.4,1,3,0.333,0,0,,0,3,3,2,0,0,1,2,5,3,10.6,1
22025,1629216,Gabe Vincent,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,30,5,10,0.5,4,8,0.5,4,4,1.0,0,1,1,1,0,0,0,2,18,-20,20.7,1
22025,1642859,Jase Richardson,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,4,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-6,1.5,1
22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,28,3,9,0.333,0,0,,0,0,,4,6,10,0,1,1,2,2,6,-7,22.0,1
22025,1642864,Hugo González,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,8,2,2,1.0,0,0,,0,0,,0,2,2,0,0,0,4,1,4,-9,2.4,1
22025,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,34,12,22,0.545,4,9,0.444,4,6,0.667,0,5,5,3,1,0,2,2,32,7,43.5,1
22025,1631248,Baylor Scheierman,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,15,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,2,0,1,2,3,-4,12.2,1
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,34,10,22,0.455,3,7,0.429,7,9,0.778,1,7,8,8,1,0,3,3,30,12,51.6,1
22025,1641775,Jordan Walsh,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,26,6,7,0.857,4,5,0.8,1,1,1.0,1,3,4,1,1,2,1,4,17,28,31.3,1
22025,1631222,Jake LaRavia,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,21,2,6,0.333,0,2,0.0,2,2,1.0,0,1,1,1,3,0,1,3,6,-14,16.7,1
22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,32,9,18,0.5,2,5,0.4,8,11,0.727,0,3,3,4,0,1,3,2,28,-4,37.6,1
22025,1629060,Rui Hachimura,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,29,5,11,0.455,3,7,0.429,0,0,,0,7,7,0,0,0,2,1,13,-15,19.4,1
22025,1641733,Nick Smith Jr.,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,24,5,10,0.5,3,6,0.5,0,0,,0,2,2,0,2,1,1,1,13,-16,23.4,1
22025,1630573,Sam Hauser,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,24,4,8,0.5,4,7,0.571,0,0,,2,1,3,0,2,0,0,1,12,8,21.6,1
22025,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,33,9,18,0.5,3,8,0.375,15,17,0.882,1,2,3,8,0,0,4,0,36,-9,47.6,1
22025,1631166,Drew Timme,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,7,0,0,,0,0,,0,0,,1,1,2,3,0,0,0,0,0,2,6.9,1
22025,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,28,9,19,0.474,4,7,0.571,0,0,,0,3,3,5,1,1,1,3,22,0,38.1,1
22025,1642261,Dalton Knecht,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,14,1,5,0.2,0,2,0.0,3,4,0.75,1,0,1,1,0,0,0,1,5,-11,7.7,1
22025,1642355,Bronny James,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,7,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,1,0,2,0,5,2,7.5,1
22025,1631170,Jaime Jaquez Jr.,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,33,8,14,0.571,0,0,,0,0,,0,3,3,2,1,1,3,2,16,1,25.6,1
22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,30,6,13,0.462,3,7,0.429,0,0,,0,2,2,6,1,0,2,2,15,15,27.4,1
22025,1629674,Neemias Queta,1610612738,BOS,Boston Celtics,0022500338,2025-12-05,BOS vs. LAL,W,26,5,8,0.625,0,0,,0,0,,1,5,6,2,2,0,0,2,10,8,26.2,1
22025,1642876,Adou Thiero,1610612747,LAL,Los Angeles Lakers,0022500338,2025-12-05,LAL @ BOS,L,20,0,2,0.0,0,0,,0,0,,2,1,3,0,0,0,2,4,0,-5,1.6,1
22025,1630558,Davion Mitchell,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,28,5,8,0.625,0,0,,0,0,,0,2,2,7,0,0,0,5,10,3,22.9,1
22025,1642276,Kel'el Ware,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,22,1,3,0.333,0,1,0.0,2,2,1.0,2,6,8,1,0,1,2,0,4,-18,16.1,1
22025,1626145,Tyus Jones,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,16,3,5,0.6,1,2,0.5,0,0,,0,0,0,2,0,0,0,0,7,-4,10.0,1
22025,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,20,3,4,0.75,0,0,,2,2,1.0,2,6,8,1,0,1,0,5,8,11,22.1,1
22025,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,28,3,5,0.6,0,1,0.0,1,2,0.5,2,5,7,1,0,0,0,5,7,-10,16.9,1
22025,1641710,Anthony Black,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,32,2,9,0.222,0,2,0.0,9,12,0.75,1,7,8,6,2,0,2,2,13,4,35.6,1
22025,1641783,Tristan da Silva,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,25,1,4,0.25,1,3,0.333,0,0,,1,4,5,0,1,0,2,0,3,-11,10.0,1
22025,1641796,Pelle Larsson,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,19,0,4,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,0,1,2.7,1
22025,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,40,9,15,0.6,2,4,0.5,4,6,0.667,2,13,15,3,2,2,5,2,24,3,53.5,1
22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,33,2,16,0.125,1,8,0.125,0,0,,0,0,0,3,0,1,2,1,5,8,10.5,1
22025,1630696,Dru Smith,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,17,1,3,0.333,0,1,0.0,3,4,0.75,0,4,4,2,0,0,1,2,5,-1,11.8,1
22025,203952,Andrew Wiggins,1610612748,MIA,Miami Heat,0022500339,2025-12-05,MIA @ ORL,L,34,5,10,0.5,2,4,0.5,1,4,0.25,0,5,5,1,1,3,0,1,13,7,32.5,1
22025,1641753,Chris Livingston,1610612739,CLE,Cleveland Cavaliers,0022500341,2025-12-05,CLE vs. SAS,W,2,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,2,-4,2.0,1
22025,1630700,Dyson Daniels,1610612737,ATL,Atlanta Hawks,0022500340,2025-12-05,ATL vs. DEN,L,34,7,14,0.5,1,3,0.333,0,0,,2,1,3,8,2,0,3,4,15,4,33.6,1
