GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2025-12-08,IND,SAC,116,105
2025-12-08,MIN,PHX,105,108
2025-12-08,NOP,SAS,132,135
