GAME_DATE,HOME_TEAM,AWAY_TEAM
2025-11-24,IND,DET
2025-11-24,TOR,CLE
2025-11-24,BKN,NYK
2025-11-24,MIA,DAL
2025-11-24,MEM,DEN
2025-11-24,MIL,POR
2025-11-24,NOP,CHI
2025-11-24,PHX,HOU
2025-11-24,GSW,UTA
2025-11-24,SAC,MIN
