SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22025,1628418,Thomas Bryant,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,1,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-4,0.0,1
22025,1642878,Tyrese Proctor,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,1,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4,1.2,1
22025,1643007,Taelon Peter,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,1,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,4,2.7,1
22025,1642484,RayJ Dennis,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4,0.0,1
22025,1641716,Jarace Walker,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,17,2,6,0.333,0,2,0.0,2,2,1.0,0,4,4,0,0,0,0,2,6,-7,10.8,1
22025,1629614,Andrew Nembhard,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,33,11,20,0.55,3,5,0.6,7,7,1.0,0,1,1,8,2,0,0,3,32,-11,51.2,1
22025,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,20,2,4,0.5,0,2,0.0,0,0,,1,2,3,1,0,1,1,3,4,10,11.1,1
22025,1629631,De'Andre Hunter,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,28,8,16,0.5,3,9,0.333,1,1,1.0,3,4,7,1,2,0,1,2,20,19,34.9,1
22025,1641767,Ben Sheppard,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,25,1,6,0.167,0,5,0.0,0,0,,2,3,5,5,2,0,0,0,2,-16,21.5,1
22025,1626204,Larry Nance Jr.,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,19,2,4,0.5,0,1,0.0,0,0,,1,1,2,1,1,2,0,0,4,-2,16.9,1
22025,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,27,5,12,0.417,3,4,0.75,7,7,1.0,1,1,2,7,0,0,4,3,20,18,28.9,1
22025,1628366,Lonzo Ball,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,25,0,2,0.0,0,2,0.0,0,0,,0,7,7,5,0,1,1,4,0,12,17.9,1
22025,1628396,Tony Bradley,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,4,0,2,0.0,0,0,,2,2,1.0,0,0,0,1,0,0,0,1,2,-1,3.5,1
22025,1630543,Isaiah Jackson,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,18,1,4,0.25,0,0,,1,2,0.5,2,2,4,0,2,1,1,3,3,-6,15.8,1
22025,1630526,Jeremiah Robinson-Earl,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,12,0,2,0.0,0,0,,2,2,1.0,1,2,3,0,0,0,1,2,2,-3,4.6,1
22025,1641775,Jordan Walsh,1610612738,BOS,Boston Celtics,0022500049,2025-11-21,BOS vs. BKN,L,24,4,7,0.571,1,2,0.5,0,0,,2,4,6,0,1,0,1,1,9,8,18.2,1
22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,0022500048,2025-11-21,CLE vs. IND,W,35,7,13,0.538,1,1,1.0,7,11,0.636,4,8,12,4,0,4,2,2,22,18,52.4,1
22025,1631213,Tyrese Martin,1610612751,BKN,Brooklyn Nets,0022500049,2025-11-21,BKN @ BOS,W,19,4,6,0.667,1,3,0.333,1,2,0.5,0,1,1,4,0,0,1,0,10,-3,16.2,1
