SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22025,1631133,Jabari Walker,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,24,4,9,0.444,2,5,0.4,0,2,0.0,3,9,12,1,0,1,1,2,10,8,27.9,1
22025,1642860,Will Riley,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,26,5,6,0.833,2,2,1.0,1,2,0.5,2,2,4,1,1,0,1,2,13,-10,21.3,1
22025,1642273,Kyshawn George,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,33,3,11,0.273,2,5,0.4,3,4,0.75,1,7,8,5,0,1,1,4,11,-7,30.1,1
22025,201569,Eric Gordon,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,13,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-11,3.0,1
22025,1630264,Anthony Gill,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,8,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,1,2,16,6.2,1
22025,1641774,Tristan Vukcevic,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,22,6,9,0.667,0,0,,4,7,0.571,1,3,4,4,1,0,3,2,16,-28,26.8,1
22025,1628963,Marvin Bagley III,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,26,3,6,0.5,1,2,0.5,6,6,1.0,4,4,8,1,0,5,1,3,13,9,38.1,1
22025,1641780,Johni Broome,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,8,0,6,0.0,0,1,0.0,0,2,0.0,1,3,4,1,0,0,0,1,0,-16,6.3,1
22025,1642348,Justin Edwards,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,33,3,9,0.333,3,7,0.429,0,0,,0,1,1,3,1,0,1,1,9,14,16.7,1
22025,1631230,Dominick Barlow,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,20,4,6,0.667,0,0,,4,5,0.8,1,0,1,0,2,0,0,3,12,5,19.2,1
22025,1631103,Malaki Branham,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,11,3,4,0.75,0,1,0.0,2,4,0.5,1,4,5,2,1,0,0,0,8,5,20.0,1
22025,1642282,Hunter Sallis,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,8,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-16,2.5,1
22025,1642267,Bub Carrington,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,25,3,12,0.25,2,7,0.286,2,2,1.0,0,3,3,3,0,0,4,1,10,-25,14.1,1
22025,203083,Andre Drummond,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,17,5,8,0.625,1,2,0.5,1,1,1.0,4,6,10,3,1,1,2,5,12,9,32.5,1
22025,202331,Paul George,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,18,4,10,0.4,3,5,0.6,0,0,,0,5,5,0,1,0,2,1,11,6,18.0,1
22025,1641715,Cam Whitmore,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,16,2,11,0.182,0,4,0.0,0,2,0.0,3,2,5,0,0,1,0,0,4,-18,13.0,1
22025,203468,CJ McCollum,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,24,5,14,0.357,0,7,0.0,0,0,,0,3,3,4,0,1,1,2,10,-10,21.6,1
22025,1641731,Bilal Coulibaly,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,25,1,5,0.2,0,3,0.0,0,0,,1,4,5,2,1,1,1,0,2,-20,16.0,1
22025,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,22,1,1,1.0,0,0,,2,2,1.0,2,3,5,0,0,1,0,4,4,26,13.0,1
22025,1630551,Justin Champagnie,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,24,3,9,0.333,2,5,0.4,5,5,1.0,3,4,7,1,1,1,3,0,13,-7,25.9,1
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,29,13,26,0.5,4,9,0.444,5,5,1.0,0,4,4,6,4,1,0,2,35,23,63.8,1
22025,1642272,Jared McCain,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,25,6,11,0.545,2,6,0.333,0,0,,0,3,3,5,1,0,3,0,14,37,25.1,1
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,0022500318,2025-12-02,PHI vs. WAS,W,24,4,10,0.4,1,3,0.333,0,0,,2,4,6,6,2,2,0,2,9,10,37.2,1
22025,1631200,Kris Murray,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,26,2,4,0.5,1,3,0.333,0,0,,0,0,0,0,2,1,2,2,5,-1,12.0,1
22025,1642266,Ja'Kobe Walter,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,18,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,1,0,1,5,3,-4,8.9,1
22025,1641711,Gradey Dick,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,17,6,8,0.75,1,3,0.333,1,2,0.5,0,3,3,0,1,0,1,4,14,14,19.6,1
22025,1627751,Jakob Poeltl,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,26,5,7,0.714,0,0,,1,1,1.0,1,6,7,4,0,0,2,5,11,7,23.4,1
22025,1642347,Jamal Shead,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,23,1,8,0.125,0,3,0.0,1,1,1.0,0,0,0,5,5,0,1,3,3,8,24.5,1
22025,1641712,Rayan Rupert,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-9,0.0,1
22025,1630534,Ochai Agbaji,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,12,1,5,0.2,0,2,0.0,0,0,,1,1,2,2,1,0,0,1,2,-6,10.4,1
22025,1631126,Caleb Love,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,12,2,6,0.333,1,5,0.2,0,0,,0,0,0,1,0,0,0,1,5,-14,6.5,1
22025,1630166,Deni Avdija,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,37,6,15,0.4,3,7,0.429,10,15,0.667,0,8,8,14,0,0,4,2,25,11,51.6,1
22025,1642867,Collin Murray-Boyles,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,16,5,7,0.714,0,1,0.0,0,0,,2,2,4,1,1,0,0,3,10,-3,19.3,1
22025,1630193,Immanuel Quickley,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,35,9,11,0.818,5,6,0.833,0,1,0.0,1,4,5,8,0,0,2,2,23,-7,39.0,1
22025,1631321,Sidy Cissoko,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,22,1,5,0.2,1,4,0.25,0,0,,1,1,2,0,0,0,1,5,3,-2,4.4,1
22025,1631101,Shaedon Sharpe,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,30,9,18,0.5,0,3,0.0,5,6,0.833,0,3,3,3,2,0,2,1,23,2,35.1,1
22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,35,7,17,0.412,1,3,0.333,6,8,0.75,2,4,6,3,0,0,4,1,21,-14,28.7,1
22025,1630572,Sandro Mamukelashvili,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,19,3,4,0.75,0,1,0.0,0,1,0.0,2,5,7,2,0,1,1,1,6,2,19.4,1
22025,1642864,Hugo González,1610612738,BOS,Boston Celtics,0022500320,2025-12-02,BOS vs. NYK,W,23,2,6,0.333,0,3,0.0,0,0,,1,4,5,0,1,0,0,4,4,3,13.0,1
22025,1630545,Terrence Shannon Jr.,1610612750,MIN,Minnesota Timberwolves,0022500321,2025-12-02,MIN @ NOP,W,8,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,2,2,-13,2.5,1
22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,0022500320,2025-12-02,BOS vs. NYK,W,30,4,13,0.308,1,7,0.143,1,1,1.0,0,4,4,3,1,0,1,3,10,0,21.3,1
22025,1628404,Josh Hart,1610612752,NYK,New York Knicks,0022500320,2025-12-02,NYK @ BOS,L,36,7,11,0.636,4,7,0.571,1,1,1.0,2,5,7,4,1,0,2,3,19,-1,34.4,1
22025,1642265,Rob Dillingham,1610612750,MIN,Minnesota Timberwolves,0022500321,2025-12-02,MIN @ NOP,W,7,0,2,0.0,0,0,,0,0,,1,1,2,2,0,0,0,1,0,-1,5.4,1
22025,1629111,Jock Landale,1610612763,MEM,Memphis Grizzlies,0022500322,2025-12-02,MEM @ SAS,L,15,5,8,0.625,0,0,,0,0,,4,2,6,0,0,0,0,3,10,-9,17.2,1
22025,1630583,Santi Aldama,1610612763,MEM,Memphis Grizzlies,0022500322,2025-12-02,MEM @ SAS,L,24,1,5,0.2,0,1,0.0,2,2,1.0,1,2,3,5,0,1,0,3,4,-18,18.1,1
22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,0022500321,2025-12-02,MIN @ NOP,W,38,5,16,0.313,5,15,0.333,0,0,,1,3,4,5,2,1,1,2,15,6,35.3,1
22025,203903,Jordan Clarkson,1610612752,NYK,New York Knicks,0022500320,2025-12-02,NYK @ BOS,L,23,1,5,0.2,1,3,0.333,1,1,1.0,0,0,0,0,0,1,0,1,4,-10,7.0,1
22025,1642885,Mohamed Diawara,1610612752,NYK,New York Knicks,0022500320,2025-12-02,NYK @ BOS,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
22025,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,0022500320,2025-12-02,NYK @ BOS,L,33,12,19,0.632,2,5,0.4,3,3,1.0,2,5,7,2,0,1,4,2,29,10,39.4,1
