GAME_DATE,HOME_TEAM,AWAY_TEAM
2025-11-26,BOS,DET
2025-11-26,CHA,NYK
2025-11-26,MIA,MIL
2025-11-26,TOR,IND
2025-11-26,OKC,MIN
2025-11-26,NOP,MEM
2025-11-26,GSW,HOU
2025-11-26,POR,SAS
2025-11-26,SAC,PHX
