GAME_DATE,HOME_TEAM,AWAY_TEAM
2025-12-02,PHI,WAS
2025-12-02,TOR,POR
2025-12-02,BOS,NYK
2025-12-02,NOP,MIN
2025-12-02,SAS,MEM
2025-12-02,GSW,OKC
