GAME_DATE,HOME_TEAM,AWAY_TEAM
2025-12-07,NYK,ORL
2025-12-07,TOR,BOS
2025-12-07,CHA,DEN
2025-12-07,MEM,POR
2025-12-07,CHI,GSW
2025-12-07,PHI,LAL
2025-12-07,UTA,OKC
