GAME_DATE,HOME_TEAM,AWAY_TEAM
2025-12-04,PHI,GSW
2025-12-04,WAS,BOS
2025-12-04,BKN,UTA
2025-12-04,TOR,LAL
2025-12-04,NOP,MIN
