GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2025-12-06,BKN,NOP,119,101
2025-12-06,WAS,ATL,116,131
2025-12-06,CLE,GSW,94,99
2025-12-06,DET,MIL,124,112
2025-12-06,MIA,SAC,111,127
2025-12-06,MIN,LAC,109,106
2025-12-06,DAL,HOU,122,109
